id,title,label,latintoponym,pleiades,welchid,golvinid,buildingtype,chronogroup,secondcentury,capacity,modcountry,romanregion,zotero,amphitheatrum,dimensionsunknown,arenamajor,arenaminor,extmajor,extminor,exteriorheight,longitude,latitude,elevation
octodurusForumClaudiiVallensiumAmphitheater,Amphitheater at Octodurus/Forum Claudii Vallensium,Octodorus,Octodurus,https://pleiades.stoa.org/places/167859,,27,amphitheater,imperial,TRUE,15550,Switzerland,alpes-poeninae,,https://amphi-theatrum.de/1489.html,FALSE,74,62,118,106,,7.073493,46.094356,480
cyreneAmphitheater,Amphitheater at Cyrene,Cyrene,Cyrene,https://pleiades.stoa.org/places/373778,,75,amphitheater,imperial,TRUE,,Libya,crete-et-cyrenaica,,https://amphi-theatrum.de/2487.html,FALSE,33,28,,,,21.850808,32.824526,550
libarnaAmphitheater,Amphitheater at Libarna,Libarna,Libarna,https://pleiades.stoa.org/places/383694,,105,amphitheater,imperial,TRUE,5380,Italy,regio-ix,,https://amphi-theatrum.de/1530.html,FALSE,66,36.6,88,58.7,,8.867967,44.706013,225
luceraAmphitheater,Amphitheater at Lucera,Lucera,Luceria,https://pleiades.stoa.org/places/442640,,12,amphitheater,augustan,TRUE,17149,Italy,regio-ii,,https://amphi-theatrum.de/1436.html,FALSE,72.2,43.2,126.8,94.5,,15.344984,41.508249,196
avellaAmphitheater,Amphitheater at Abella,Abella,Abella,https://pleiades.stoa.org/places/432617,5,3,amphitheater,republican,TRUE,,Italy,regio-i,,https://amphi-theatrum.de/1461.html,FALSE,63,35,108,70,,14.608415,40.961526,224
nimesAmphitheater,Amphitheater at Nimes,Nimes,Nemausus,https://pleiades.stoa.org/places/148142,,155,amphitheater,flavian,TRUE,24000,France,narbonensis,LD7NNHSG,https://amphi-theatrum.de/1385.html,FALSE,69.1,38.4,133.4,101.4,,4.359599,43.834876,50
charterhouseAmphitheater,Amphitheater at Charterhouse,Charterhouse,Ischalis,https://pleiades.stoa.org/places/79534,,32,amphitheater,imperial,TRUE,,United Kingdom,britannia,,https://amphi-theatrum.de/1441.html,FALSE,32,24,70,61,,-2.720301,51.305437,296
chesterAmphitheater,Amphitheater at Chester,Chester,Deva Victrix,https://pleiades.stoa.org/places/79420,,107,amphitheater,flavian,TRUE,10861,United Kingdom,britannia,CW8ICQUU,https://amphi-theatrum.de/1437.html,FALSE,56.7,48.3,95.5,86.6,,-2.886928,53.189079,23
gennesAmphitheater,Amphitheater at Gennes,Gennes,Geinum,https://pleiades.stoa.org/places/138371,,,gallo-roman-amphitheater,second-century,TRUE,5000,France,lugdunensis,,https://amphi-theatrum.de/2554.html,FALSE,44,39,,,,-0.2386057,47.3352194,47
scythopolisNysaAmphitheater,Amphitheater at Scythopolis/Nysa,Scythopolis,Scythopolis,https://pleiades.stoa.org/places/678378,,,arena-in-hippodrome,imperial,FALSE,,Israel,judaea,,https://amphi-theatrum.de/2402.html,TRUE,,,,,,35.501631,32.498395,-121
roccellettaAmphitheater,Amphitheater at Roccelletta di Borgia,Roccelletta di Borgia,Scylletium,https://pleiades.stoa.org/places/452439,,,amphitheater,first-century,TRUE,,Italy,regio-iii,,https://amphi-theatrum.de/1598.html,FALSE,,,88,64,,16.59232919,38.80688779,44
bordeauxAmphitheater,Amphitheater at Bordeaux,Bordeaux,Burdigala,https://pleiades.stoa.org/places/138248,,188,amphitheater,second-century,TRUE,22130,France,aquitania,V8642RQH,https://amphi-theatrum.de/1388.html,FALSE,69.8,46.7,132.3,110.6,,-0.582476,44.847382,17
oudnaAmphitheater,Amphitheater at Oudna,Uthina,Uthina,https://pleiades.stoa.org/places/315247,,115,amphitheater,second-century,TRUE,11832,Tunisia,proconsularis,,https://amphi-theatrum.de/1347.html,FALSE,52.5,37.5,96,81,,10.169215,36.608597,112
carthagoNovaAmphitheater,Amphitheater at Carthago Nova/Col. Urbs Iulia,Carthago Nova,Carthago Nova,https://pleiades.stoa.org/places/265849,,,amphitheater,imperial,TRUE,,Spain,tarraconensis,,https://amphi-theatrum.de/1613.html,FALSE,,,69,69,,-0.9801609,37.6006455,23
virunumAmphitheater,Amphitheater at Virunum,Virunum,Virunum,https://pleiades.stoa.org/places/197583,,51,amphitheater,second-century,TRUE,,Austria,noricum,EGZ5XRE9,https://amphi-theatrum.de/1501.html,FALSE,,,96,42,,14.3669959,46.6978777,479
