id,title,label,latintoponym,pleiades,welchid,golvinid,buildingtype,chronogroup,secondcentury,capacity,modcountry,romanregion,zotero,amphitheatrum,dimensionsunknown,arenamajor,arenaminor,extmajor,extminor,exteriorheight,longitude,latitude,elevation
carmonaAmphitheater,Amphitheater at Carmona,Carmona,Carmo,https://pleiades.stoa.org/places/256058,17,10,amphitheater,caesarean,TRUE,18350,Spain,baetica,,https://amphi-theatrum.de/1471.html,FALSE,58,39,108,98,,-5.650907,37.469674,223
caesareaAmphitheater,Amphitheater at Caesarea,Caesarea,Caesarea,https://pleiades.stoa.org/places/678401,,,amphitheater,imperial,TRUE,,Israel,judaea,,https://amphi-theatrum.de/2411.html,FALSE,95,62,,,,34.897451,32.506473,11
bergamaAmphitheater,Amphitheater at Pergamum,Bergama,Pergamum,https://pleiades.stoa.org/places/550812,,177,amphitheater,second-century,TRUE,23016,Turkey,asia,,https://amphi-theatrum.de/1562.html,FALSE,53,37,136.2,107.4,,27.174177,39.125751,100
anazarbusAmphitheater,Amphitheater at Anazarbus,Anazarbus,Anazarbus,https://pleiades.stoa.org/places/658378,,,amphitheater,imperial,TRUE,,Turkey,cilicia,,https://amphi-theatrum.de/2421.html,FALSE,60,43,109,80,,35.894673,37.244094,42
antiochAmphitheater,Amphitheater at Antioch,Antioch,Antiochia,https://pleiades.stoa.org/places/658381,19,,amphitheater,caesarean,TRUE,,Turkey,syria,,https://amphi-theatrum.de/2603.html,TRUE,,,,,,36.160437,36.202624,89
cyzicusAmphitheater,Amphitheater at Cyzicus,Cyzicus,Cyzicus,https://pleiades.stoa.org/places/511218,,,amphitheater,imperial,TRUE,,Turkey,asia,,https://amphi-theatrum.de/1561.html,FALSE,,,150,100,,27.884552,40.398213,54
sabrathaAmphitheater,Amphitheater at Sabratha,Sabratha,Sabratha,https://pleiades.stoa.org/places/344282,,120,amphitheater,second-century,TRUE,20700,Libya,proconsularis,,https://amphi-theatrum.de/1327.html,FALSE,65,49,115,99,,12.49404,32.803879,11
salamisAmphitheater,Amphitheater at Salamis,Salamis,Salamis,https://pleiades.stoa.org/places/707617,,,amphitheater,imperial,TRUE,,Cyprus,cyprus,,https://amphi-theatrum.de/2001.html,TRUE,,,,,,33.902435,35.185517,6
paphosAmphitheater,Amphitheater at Paphos,Paphos,Nea Paphos,https://pleiades.stoa.org/places/707586,,,amphitheater,imperial,TRUE,,Cyprus,cyprus,,https://amphi-theatrum.de/1984.html,FALSE,,,70,,,32.405344,34.754942,6
carmarthenAmphitheater,Amphitheater at Carmarthen,Carmarthen,Moridunum,https://pleiades.stoa.org/places/79602,,,amphitheater,second-century,TRUE,,United Kingdom,britannia,,https://amphi-theatrum.de/1440.html,FALSE,46,27,92,67,,-4.296651,51.862005,29
caerwentAmphitheater,Amphitheater at Caerwent,Caerwent,Venta Silurum,https://pleiades.stoa.org/places/79733,,128,amphitheater,imperial,TRUE,3532,United Kingdom,britannia,,,FALSE,44,35,63,53,,-2.766307,51.612173,25
tomen-y-murAmphitheater,Amphitheater at Tomen y Mur,Tomen y Mur,,https://pleiades.stoa.org/places/142376597,,31,amphitheater,imperial,TRUE,2772,United Kingdom,britannia,,https://amphi-theatrum.de/1439.html,FALSE,35,28,52,46,,-3.9235,52.931893,295
thaenaeAmphitheater,Amphitheater at Thaenae,Thaenae,,https://pleiades.stoa.org/places/324825,,71,amphitheater,second-century,TRUE,8700,Tunisia,proconsularis,,https://amphi-theatrum.de/1332.html,FALSE,62,33,90,61,,10.673126,34.655481,7
sbeitlaAmphitheater,Amphitheater at Sbeitla,Sbeitla,Sufetula,https://pleiades.stoa.org/places/324816,,113,amphitheater,second-century,TRUE,6500,Tunisia,proconsularis,,https://amphi-theatrum.de/1331.html,FALSE,47,37,72,60,,9.114582,35.243617,556
tebessaAmphitheater,Amphitheater at Theveste,Tebessa,Theveste,https://pleiades.stoa.org/places/324831,,,amphitheater,flavian,TRUE,9400,Algeria,proconsularis,,https://amphi-theatrum.de/1336.html,FALSE,52.8,39.5,83,70,,8.123809,35.401171,877
